root_id,x,y,z,t,layer
1,-0.043,0.029,-10.569,50.0,Loam
1,-0.058,-0.044,-16.216,100.0,Loam
1,-0.191,-0.063,-20.444,150.0,Loam
1,-0.416,-0.147,-23.589,200.0,Loam
1,-0.370,-0.184,-25.948,250.0,Loam
1,-0.342,-0.096,-27.709,300.0,Loam
1,-0.237,-0.057,-29.022,350.0,Loam
1,-0.156,-0.020,-30.002,400.0,Loam
1,-0.123,-0.031,-30.737,450.0,Loam
1,-0.099,-0.031,-31.287,500.0,Loam
1,-0.086,-0.035,-31.697,550.0,Loam
1,-0.095,-0.045,-32.002,600.0,Loam
1,-0.129,-0.059,-32.229,650.0,Loam
1,-0.155,-0.070,-32.397,700.0,Loam
1,-0.165,-0.068,-32.525,750.0,Loam
1,-0.171,-0.067,-32.620,800.0,Loam
1,-0.176,-0.066,-32.691,850.0,Loam
1,-0.180,-0.065,-32.745,900.0,Loam
1,-0.183,-0.064,-32.784,950.0,Loam
1,-0.185,-0.064,-32.814,1000.0,Loam
1,-0.186,-0.063,-32.836,1050.0,Loam
1,-0.187,-0.063,-32.853,1100.0,Loam
1,-0.188,-0.063,-32.865,1150.0,Loam
1,-0.189,-0.063,-32.874,1200.0,Loam
1,-0.189,-0.063,-32.881,1250.0,Loam
1,-0.190,-0.063,-32.886,1300.0,Loam
1,-0.190,-0.063,-32.890,1350.0,Loam
1,-0.190,-0.063,-32.893,1400.0,Loam
1,-0.190,-0.063,-32.895,1450.0,Loam
1,-0.191,-0.062,-32.897,1500.0,Loam
1,-0.191,-0.062,-32.898,1550.0,Loam
1,-0.191,-0.062,-32.899,1600.0,Loam
1,-0.191,-0.062,-32.900,1650.0,Loam
1,-0.191,-0.062,-32.900,1700.0,Loam
1,-0.191,-0.062,-32.901,1750.0,Loam
1,-0.191,-0.062,-32.901,1800.0,Loam
1,-0.191,-0.062,-32.901,1850.0,Loam
1,-0.191,-0.062,-32.901,1900.0,Loam
1,-0.191,-0.062,-32.901,1950.0,Loam
1,-0.191,-0.062,-32.901,2000.0,Loam
1,-0.191,-0.062,-32.901,2050.0,Loam
1,-0.191,-0.062,-32.901,2100.0,Loam
1,-0.191,-0.062,-32.902,2150.0,Loam
1,-0.191,-0.062,-32.902,2200.0,Loam
1,-0.191,-0.062,-32.902,2250.0,Loam
1,-0.191,-0.062,-32.902,2300.0,Loam
1,-0.191,-0.062,-32.902,2350.0,Loam
1,-0.191,-0.062,-32.902,2400.0,Loam
1,-0.191,-0.062,-32.902,2450.0,Loam
1,-0.191,-0.062,-32.902,2500.0,Loam
1,-0.191,-0.062,-32.902,2550.0,Loam
1,-0.191,-0.062,-32.902,2600.0,Loam
1,-0.191,-0.062,-32.902,2650.0,Loam
1,-0.191,-0.062,-32.902,2700.0,Loam
1,-0.191,-0.062,-32.902,2750.0,Loam
1,-0.191,-0.062,-32.902,2800.0,Loam
1,-0.191,-0.062,-32.902,2850.0,Loam
1,-0.191,-0.062,-32.902,2900.0,Loam
1,-0.191,-0.062,-32.902,2950.0,Loam
1,-0.191,-0.062,-32.902,3000.0,Loam
1,-0.191,-0.062,-32.902,3050.0,Loam
1,-0.191,-0.062,-32.902,3100.0,Loam
1,-0.191,-0.062,-32.902,3150.0,Loam
1,-0.191,-0.062,-32.902,3200.0,Loam
1,-0.191,-0.062,-32.902,3250.0,Loam
1,-0.191,-0.062,-32.902,3300.0,Loam
1,-0.191,-0.062,-32.902,3350.0,Loam
1,-0.191,-0.062,-32.902,3400.0,Loam
1,-0.191,-0.062,-32.902,3450.0,Loam
1,-0.191,-0.062,-32.902,3500.0,Loam
1,-0.191,-0.062,-32.902,3550.0,Loam
1,-0.191,-0.062,-32.902,3600.0,Loam
1,-0.191,-0.062,-32.902,3650.0,Loam
1,-0.191,-0.062,-32.902,3700.0,Loam
1,-0.191,-0.062,-32.902,3750.0,Loam
1,-0.191,-0.062,-32.902,3800.0,Loam
1,-0.191,-0.062,-32.902,3850.0,Loam
1,-0.191,-0.062,-32.902,3900.0,Loam
1,-0.191,-0.062,-32.902,3950.0,Loam
1,-0.191,-0.062,-32.902,4000.0,Loam
1,-0.191,-0.062,-32.902,4050.0,Loam
1,-0.191,-0.062,-32.902,4100.0,Loam
1,-0.191,-0.062,-32.902,4150.0,Loam
1,-0.191,-0.062,-32.902,4200.0,Loam
1,-0.191,-0.062,-32.902,4250.0,Loam
1,-0.191,-0.062,-32.902,4300.0,Loam
1,-0.191,-0.062,-32.902,4350.0,Loam
1,-0.191,-0.062,-32.902,4400.0,Loam
1,-0.191,-0.062,-32.902,4450.0,Loam
1,-0.191,-0.062,-32.902,4500.0,Loam
1,-0.191,-0.062,-32.902,4550.0,Loam
1,-0.191,-0.062,-32.902,4600.0,Loam
1,-0.191,-0.062,-32.902,4650.0,Loam
1,-0.191,-0.062,-32.902,4700.0,Loam
1,-0.191,-0.062,-32.902,4750.0,Loam
1,-0.191,-0.062,-32.902,4800.0,Loam
1,-0.191,-0.062,-32.902,4850.0,Loam
1,-0.191,-0.062,-32.902,4900.0,Loam
1,-0.191,-0.062,-32.902,4950.0,Loam
1,-0.191,-0.062,-32.902,5000.0,Loam
2,-2.874,-7.181,-3.100,50.0,Loam
2,-4.662,-13.849,-3.065,100.0,Loam
2,-6.055,-19.852,-3.076,150.0,Loam
2,-7.478,-25.170,-3.076,200.0,Loam
2,-8.574,-29.959,-3.096,250.0,Loam
2,-9.388,-34.257,-3.103,300.0,Loam
2,-10.023,-38.117,-3.092,350.0,Loam
2,-10.753,-41.529,-3.087,400.0,Loam
2,-11.638,-44.507,-3.124,450.0,Loam
2,-12.323,-47.202,-3.124,500.0,Loam
2,-12.682,-49.655,-3.129,550.0,Loam
2,-13.070,-51.835,-3.124,600.0,Loam
2,-13.433,-53.777,-3.120,650.0,Loam
2,-13.758,-55.510,-3.118,700.0,Loam
2,-13.999,-57.063,-3.115,750.0,Loam
2,-14.263,-58.442,-3.131,800.0,Loam
2,-14.498,-59.673,-3.133,850.0,Loam
2,-14.630,-60.781,-3.130,900.0,Loam
2,-14.632,-61.779,-3.131,950.0,Loam
2,-14.586,-62.668,-3.132,1000.0,Loam
2,-14.528,-63.460,-3.137,1050.0,Loam
2,-14.448,-64.164,-3.134,1100.0,Loam
2,-14.344,-64.788,-3.132,1150.0,Loam
2,-14.269,-65.348,-3.129,1200.0,Loam
2,-14.232,-65.850,-3.131,1250.0,Loam
2,-14.191,-66.297,-3.132,1300.0,Loam
2,-14.153,-66.696,-3.132,1350.0,Loam
2,-14.128,-67.053,-3.133,1400.0,Loam
2,-14.106,-67.372,-3.135,1450.0,Loam
2,-14.087,-67.657,-3.136,1500.0,Loam
2,-14.069,-67.910,-3.137,1550.0,Loam
2,-14.050,-68.136,-3.137,1600.0,Loam
2,-14.030,-68.338,-3.134,1650.0,Loam
2,-14.011,-68.518,-3.132,1700.0,Loam
2,-13.991,-68.678,-3.131,1750.0,Loam
